state,murder_rate
New Hampshire,1.1
Vermont,1.3
Iowa,1.5
Idaho,1.8
Massachusetts,1.8
Minnesota,1.8
Utah,1.8
Maine,1.9
Hawaii,2.1
Oregon,2.4
Wyoming,2.4
Montana,2.7
Kansas,2.9
Nebraska,2.9
South Dakota,3
Washington,3
Wisconsin,3
Colorado,3.1
Rhode Island,3.2
New York,3.5
Virginia,3.8
West Virginia,3.9
North Dakota,4
Alaska,4.1
Connecticut,4.1
Ohio,4.3
New Jersey,4.4
Texas,4.4
Kentucky,4.5
Nevada,4.5
Indiana,4.7
North Carolina,4.9
California,5
Florida,5.2
Pennsylvania,5.4
Arizona,5.5
New Mexico,5.6
Oklahoma,5.7
Illinois,5.8
Arkansas,5.9
Georgia,5.9
Tennessee,6
Delaware,6.2
Maryland,6.3
Missouri,6.5
South Carolina,6.9
Michigan,7
Alabama,7.1
Mississippi,7.4
Louisiana,10.8
